"County","FIPS","Year","Measure Type","Variable","Value"
"Middlesex County","09007","2010-2014","Number","Median Rent",1069
"Middlesex County","09007","2010-2014","Number","Margins of Error",24
"Middlesex County","09007","2010-2014","Ratio to State Median","Median Rent",1
"Middlesex County","09007","2010-2014","Ratio to State Median","Margins of Error",0.02
"Middlesex County","09007","2011-2015","Number","Median Rent",1095
"Middlesex County","09007","2011-2015","Number","Margins of Error",31
"Middlesex County","09007","2011-2015","Ratio to State Median","Median Rent",1.02
"Middlesex County","09007","2011-2015","Ratio to State Median","Margins of Error",0.03
"Middlesex County","09007","2012-2016","Number","Median Rent",1101
"Middlesex County","09007","2012-2016","Number","Margins of Error",26
"Middlesex County","09007","2012-2016","Ratio to State Median","Median Rent",1.01
"Middlesex County","09007","2012-2016","Ratio to State Median","Margins of Error",0.02
"Middlesex County","09007","2013-2017","Number","Median Rent",1132
"Middlesex County","09007","2013-2017","Number","Margins of Error",23
"Middlesex County","09007","2013-2017","Ratio to State Median","Median Rent",1.01
"Middlesex County","09007","2013-2017","Ratio to State Median","Margins of Error",0.02
"New Haven County","09009","2006-2010","Number","Median Rent",996
"New Haven County","09009","2006-2010","Number","Margins of Error",9
"New Haven County","09009","2006-2010","Ratio to State Median","Median Rent",1.01
"New Haven County","09009","2006-2010","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2007-2011","Number","Median Rent",1030
"New Haven County","09009","2007-2011","Number","Margins of Error",11
"New Haven County","09009","2007-2011","Ratio to State Median","Median Rent",1.01
"New Haven County","09009","2007-2011","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2008-2012","Number","Median Rent",1053
"New Haven County","09009","2008-2012","Number","Margins of Error",10
"New Haven County","09009","2008-2012","Ratio to State Median","Median Rent",1.01
"New Haven County","09009","2008-2012","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2009-2013","Number","Median Rent",1060
"New Haven County","09009","2009-2013","Number","Margins of Error",9
"New Haven County","09009","2009-2013","Ratio to State Median","Median Rent",1
"New Haven County","09009","2009-2013","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2010-2014","Number","Median Rent",1064
"New Haven County","09009","2010-2014","Number","Margins of Error",9
"New Haven County","09009","2010-2014","Ratio to State Median","Median Rent",1
"New Haven County","09009","2010-2014","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2011-2015","Number","Median Rent",1061
"New Haven County","09009","2011-2015","Number","Margins of Error",10
"New Haven County","09009","2011-2015","Ratio to State Median","Median Rent",0.99
"New Haven County","09009","2011-2015","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2012-2016","Number","Median Rent",1075
"New Haven County","09009","2012-2016","Number","Margins of Error",9
"New Haven County","09009","2012-2016","Ratio to State Median","Median Rent",0.98
"New Haven County","09009","2012-2016","Ratio to State Median","Margins of Error",0.01
"New Haven County","09009","2013-2017","Number","Median Rent",1100
"New Haven County","09009","2013-2017","Number","Margins of Error",9
"New Haven County","09009","2013-2017","Ratio to State Median","Median Rent",0.98
"New Haven County","09009","2013-2017","Ratio to State Median","Margins of Error",0.01
"New London County","09011","2006-2010","Number","Median Rent",974
"New London County","09011","2006-2010","Number","Margins of Error",19
"New London County","09011","2006-2010","Ratio to State Median","Median Rent",0.99
"New London County","09011","2006-2010","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2007-2011","Number","Median Rent",987
"New London County","09011","2007-2011","Number","Margins of Error",16
"New London County","09011","2007-2011","Ratio to State Median","Median Rent",0.97
"New London County","09011","2007-2011","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2008-2012","Number","Median Rent",999
"New London County","09011","2008-2012","Number","Margins of Error",15
"New London County","09011","2008-2012","Ratio to State Median","Median Rent",0.96
"New London County","09011","2008-2012","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2009-2013","Number","Median Rent",1012
"New London County","09011","2009-2013","Number","Margins of Error",19
"New London County","09011","2009-2013","Ratio to State Median","Median Rent",0.96
"New London County","09011","2009-2013","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2010-2014","Number","Median Rent",1024
"New London County","09011","2010-2014","Number","Margins of Error",22
"New London County","09011","2010-2014","Ratio to State Median","Median Rent",0.96
"New London County","09011","2010-2014","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2011-2015","Number","Median Rent",1022
"New London County","09011","2011-2015","Number","Margins of Error",20
"New London County","09011","2011-2015","Ratio to State Median","Median Rent",0.95
"New London County","09011","2011-2015","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2012-2016","Number","Median Rent",1039
"New London County","09011","2012-2016","Number","Margins of Error",19
"New London County","09011","2012-2016","Ratio to State Median","Median Rent",0.95
"New London County","09011","2012-2016","Ratio to State Median","Margins of Error",0.02
"New London County","09011","2013-2017","Number","Median Rent",1071
"New London County","09011","2013-2017","Number","Margins of Error",15
"New London County","09011","2013-2017","Ratio to State Median","Median Rent",0.95
"New London County","09011","2013-2017","Ratio to State Median","Margins of Error",0.01
"Tolland County","09013","2006-2010","Number","Median Rent",948
"Tolland County","09013","2006-2010","Number","Margins of Error",26
"Tolland County","09013","2006-2010","Ratio to State Median","Median Rent",0.97
"Tolland County","09013","2006-2010","Ratio to State Median","Margins of Error",0.03
"Tolland County","09013","2007-2011","Number","Median Rent",993
"Tolland County","09013","2007-2011","Number","Margins of Error",25
"Tolland County","09013","2007-2011","Ratio to State Median","Median Rent",0.97
"Tolland County","09013","2007-2011","Ratio to State Median","Margins of Error",0.03
"Tolland County","09013","2008-2012","Number","Median Rent",1025
"Tolland County","09013","2008-2012","Number","Margins of Error",37
"Tolland County","09013","2008-2012","Ratio to State Median","Median Rent",0.98
"Tolland County","09013","2008-2012","Ratio to State Median","Margins of Error",0.04
"Tolland County","09013","2009-2013","Number","Median Rent",1017
"Tolland County","09013","2009-2013","Number","Margins of Error",39
"Tolland County","09013","2009-2013","Ratio to State Median","Median Rent",0.96
"Tolland County","09013","2009-2013","Ratio to State Median","Margins of Error",0.04
"Tolland County","09013","2010-2014","Number","Median Rent",1041
"Tolland County","09013","2010-2014","Number","Margins of Error",30
"Tolland County","09013","2010-2014","Ratio to State Median","Median Rent",0.97
"Tolland County","09013","2010-2014","Ratio to State Median","Margins of Error",0.03
"Tolland County","09013","2011-2015","Number","Median Rent",1040
"Tolland County","09013","2011-2015","Number","Margins of Error",33
"Tolland County","09013","2011-2015","Ratio to State Median","Median Rent",0.97
"Tolland County","09013","2011-2015","Ratio to State Median","Margins of Error",0.03
"Tolland County","09013","2012-2016","Number","Median Rent",1061
"Tolland County","09013","2012-2016","Number","Margins of Error",31
"Tolland County","09013","2012-2016","Ratio to State Median","Median Rent",0.97
"Tolland County","09013","2012-2016","Ratio to State Median","Margins of Error",0.03
"Tolland County","09013","2013-2017","Number","Median Rent",1093
"Tolland County","09013","2013-2017","Number","Margins of Error",28
"Tolland County","09013","2013-2017","Ratio to State Median","Median Rent",0.97
"Tolland County","09013","2013-2017","Ratio to State Median","Margins of Error",0.03
"Windham County","09015","2006-2010","Number","Median Rent",824
"Windham County","09015","2006-2010","Number","Margins of Error",24
"Windham County","09015","2006-2010","Ratio to State Median","Median Rent",0.84
"Windham County","09015","2006-2010","Ratio to State Median","Margins of Error",0.02
"Windham County","09015","2007-2011","Number","Median Rent",852
"Windham County","09015","2007-2011","Number","Margins of Error",19
"Windham County","09015","2007-2011","Ratio to State Median","Median Rent",0.84
"Windham County","09015","2007-2011","Ratio to State Median","Margins of Error",0.02
"Windham County","09015","2008-2012","Number","Median Rent",867
"Windham County","09015","2008-2012","Number","Margins of Error",23
"Windham County","09015","2008-2012","Ratio to State Median","Median Rent",0.83
"Windham County","09015","2008-2012","Ratio to State Median","Margins of Error",0.02
"Windham County","09015","2009-2013","Number","Median Rent",863
"Windham County","09015","2009-2013","Number","Margins of Error",24
"Windham County","09015","2009-2013","Ratio to State Median","Median Rent",0.82
"Windham County","09015","2009-2013","Ratio to State Median","Margins of Error",0.02
"Windham County","09015","2010-2014","Number","Median Rent",863
"Windham County","09015","2010-2014","Number","Margins of Error",24
"Windham County","09015","2010-2014","Ratio to State Median","Median Rent",0.81
"Windham County","09015","2010-2014","Ratio to State Median","Margins of Error",0.02
"Windham County","09015","2011-2015","Number","Median Rent",847
"Windham County","09015","2011-2015","Number","Margins of Error",27
"Windham County","09015","2011-2015","Ratio to State Median","Median Rent",0.79
"Windham County","09015","2011-2015","Ratio to State Median","Margins of Error",0.03
"Windham County","09015","2012-2016","Number","Median Rent",852
"Windham County","09015","2012-2016","Number","Margins of Error",23
"Windham County","09015","2012-2016","Ratio to State Median","Median Rent",0.78
"Windham County","09015","2012-2016","Ratio to State Median","Margins of Error",0.02
"Windham County","09015","2013-2017","Number","Median Rent",869
"Windham County","09015","2013-2017","Number","Margins of Error",19
"Windham County","09015","2013-2017","Ratio to State Median","Median Rent",0.77
"Windham County","09015","2013-2017","Ratio to State Median","Margins of Error",0.02
